kanži	osion nro	target/joyo/komponentti	komponentit	kaikki lukutavat	kirjan lukutavat	suomennos	korpuksesta esimerkkisanat	esim1	esim 1 suomeksi	esim 2	esim 2 suomeksi	esim 3	esim 3 suomeksi	muu esim	muu esim suomeksi	esimerkkilauseet korpuksesta	kirjan esimerkkilauseet	kirjan lauseet suomeksi	tehtävä 1	tehtävä 1 vastaus	tehtävä 2	tehtävä 2 vastaus																
後	3	target																				
前	3	target																				
帰	3	target																				
来	3	target																				
行	3	target			い・く	mennä																
食	3	target			たべ・る、しょく																	
朝	3	target																				
昼	3	target																				
夜	3	target																				
休	3	target																				
夏	4	target																				
秋	4	target																				
冬	4	target																				
春	4	target																				
赤	4	target																				
青	4	target																				
私	4	target																				
強	4	target																				
弱	4	target																				
湯	4	target																				
温	4	target																				
泉	4	target																				
線	4	target																				
元	4	target																				
気	4	target																				
話	4	target																				
言	4	target																				
語	4	target																				
決	4	target																				
起	4	target																				
米	4	target																				
飯	4	target																				
高	4	target																				
安	4	target																				
買	4	target																				
体	4	target																				
間	4	target																				
料	4	target																				
理	4	target																				
心	5	target																				
安	5	target																				
不	5	target																				
無	5	target																																				
