色	2	target	色	ショク,シキ,いろ	いろ	väri	色[いろ] (yleisyys: 558.),色々[いろいろ] (yleisyys: 707.),色々[いろいろ] (yleisyys: 921.),色んな[いろんな] (yleisyys: 1542.),色[しょく] (yleisyys: 2658.)	色・いろ	väri	何色・なにいろ	minkä värinen?												Merkin vetojen lukumäärä: 6 <br> <a href="https://jisho.org/search/色%23kanji">色 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
百	2	target	一白	ヒャク,ビャク,もも	ヒャク,ビャク	sata	九百[きゅうひゃく] (yleisyys: 119.),百[ひゃく] (yleisyys: 124.),二百[にひゃく] (yleisyys: 239.),五百[ごひゃく] (yleisyys: 341.),八百[はっぴゃく] (yleisyys: 349.)	百・ひゃく	sata														Merkin vetojen lukumäärä: 6 <br> <a href="https://jisho.org/search/百%23kanji">百 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
千	2	target	千	セン,ち	セン,ち	tuhat	千[せん] (yleisyys: 86.),二千[にせん] (yleisyys: 193.),三千[さんぜん] (yleisyys: 675.),五千[ごせん] (yleisyys: 799.),四千[よんせん] (yleisyys: 1136.)	千・せん	tuhat														Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/千%23kanji">千 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
万	2	target	万	マン,バン,よろず	マン	10 000	万[まん] (yleisyys: 117.)	万・まん	10 000														Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/万%23kanji">万 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
円	2	target	円	エン,まる.い,まる,まど,まど.か,まろ.やか	エン	Kanjin merkityksiä englanniksi: circle, yen, round;	円[えん] (yleisyys: 116.),円[えん] (yleisyys: 2823.),円滑[えんかつ] (yleisyys: 3738.)	円・えん	jeni	何円・なんえん	montako jeniä?												Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/円%23kanji">円 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
水	2	target	水	スイ,みず,みず-	スイ,みず	vesi	水[みず] (yleisyys: 378.),水準[すいじゅん] (yleisyys: 1691.),水[すい] (yleisyys: 1956.),水[すい] (yleisyys: 2362.),水産[すいさん] (yleisyys: 2660.)	水・みず	(kylmä) vesi	水よう日・すいようび	keskiviikko												Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/水%23kanji">水 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
魚	2	target	魚	ギョ,うお,さかな,-ざかな	ギョ,さかな	kala	魚[さかな] (yleisyys: 1575.)	魚・さかな	kala	金魚	kultakala												Merkin vetojen lukumäärä: 11 <br> <a href="https://jisho.org/search/魚%23kanji">魚 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
肉	2	target	肉	ニク,しし	ニク	liha	肉[にく] (yleisyys: 1661.),筋肉[きんにく] (yleisyys: 2635.),肉体[にくたい] (yleisyys: 2896.)	肉・にく	liha														Merkin vetojen lukumäärä: 6 <br> <a href="https://jisho.org/search/肉%23kanji">肉 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
牛	2	target	牛	ギュウ,うし	ギュウ,うし	lehmä, nauta	牛[うし] (yleisyys: 3102.),牛乳[ぎゅうにゅう] (yleisyys: 3596.)	牛・うし	lehmä, härkä, nauta	牛肉・ぎゅうにく	naudanliha	牛乳・ぎゅうにゅう	lehmänmaito										Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/牛%23kanji">牛 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
出	2	target	出	シュツ,スイ,で.る,-で,だ.す,-だ.す,い.でる,い.だす	で、でる、だす	mennä ulos	出来る[できる] (yleisyys: 50.),出る[でる] (yleisyys: 110.),出す[だす] (yleisyys: 171.),思い出す[おもいだす] (yleisyys: 1034.),提出[ていしゅつ] (yleisyys: 1251.)	出る・でる	mennä ulos, tulla ulos	出す・だす	ottaa ulos	出口・でぐち	uloskäynti										Merkin vetojen lukumäärä: 5 <br> <a href="https://jisho.org/search/出%23kanji">出 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
