命名 nimetä
エストニア Eesti
いや kelju
いわ kallio
旅行 matka
婦人科 naistentautioppi
事故 onnettomuus
眼球振盪 nystagmus
ほのめかす antaa ymmärtää
からて karate
マンバ mamba
ふたたび toistamiseen
バナナ banaani
ウェールズ語 kymrin kieli
四月 huhtikuu
おおみそか uudenvuodenaatto
すすむ edistää
突然 äkkiä
ふくらはぎ pohje
巨星 jättiläistähti
賃金 palkka
有害 vahingollinen
定理 lause
簿記 kirjanpito
液化 nesteytys
ふつかよい krapula
オセロット oselotti
ストーン kivi
みまもる kaita
迷路 sokkelo
ためらう aikailla
ケニア Kenia
洗礼 kastaa
やどや matkustajakoti
海水 merivesi
目には目を silmä silmästä , hammas hampaasta
皮膚科 ihotautioppi
貘 tapiiri
疎外 vieraantuminen
空港 lentoasema
燃料 polttoaine
角速度 kulmanopeus
洗剤 pesuaine
犠牲 uhri
ポケット tasku
乾杯 kippis
指数 eksponentti
醤油 soija
楽観的 optimistinen
カルマ karma
犯罪 rikos
使用 käyttää
王朝 dynastia
文民 siviili
学生 opiskelija
政治 politiikka
ともだち frendi
ぬるい haalea
洗礼 kaste
硼素 boori
義父 appi
おっと mies
経済 talous
案内 opas
浄水場 vesilaitos
一酸化炭素 hiilimonoksidi
キュリウム curium
旅行 matkailu
同情 osanotto
犠牲 uhraus
プレゼント lahja
フクロウ pöllö
フランス人 ranskalainen
いえ talo
いちょう neidonhiuspuun siemen
モトクロス motocross
ペルシア語 farsin kieli
幽霊 aave
こもりうた tuutulaulu
アイスクリーム jäätelö
日本海 Japaninmeri
二十 kaksikymmentä
うし härkä
椎骨 nikama
フランス語 ranskan kieli
ベリリウム beryllium
おはよう hyvää huomenta
悲観的 pessimistinen
窒素 typpi
弾薬 ammukset
パン屋 leipuri
異常 epänormaali
ファゴット fagotti
気圧 ilmanpaine
スピーカー puhuja
ちかい läheinen
近視 likinäköisyys
神話 kertomus
さまたげる vaikeuttaa
ボールペン kuulakynä
学説 opinkappale
塩 suola
再使用 käyttää uudelleen
ウェブサイト www-sivu
緑柱石 berylli
ブラジル Brasilia
まご tyttärentytär
財政 varainhoito
犯人 kriminaali
改善 parantaminen
はなびら terälehti
空気 ilma
骨格 luuranko
うし härkä
オリンピック Olympialaiset
チフス pilkkukuume
光学 optiikka
ベンチ penkki
歩兵隊 jalkaväki
モルドバ Moldova
インクブス incubus
カザフ語 kazakki
結合 yhdistely
