岳	91
粗	91
悠	91
淫	91
嚙	91
姓	90
禅	90
獣	90
漠	90
殴	90
妊	89
慰	89
寧	89
謎	89
嘘	89
隷	89
頰	88
霧	88
媒	87
戯	87
妬	87
漏	86
爵	86
李	86
暑	86
壮	86
冗	86
猿	86
戚	86
藩	85
斉	85
飽	85
枢	85
宜	85
瞭	85
牙	85
虐	84
昌	84
偵	84
衡	84
怠	84
騰	84
疎	83
賊	83
巣	82
碑	82
貞	82
砕	82
貌	82
郭	82
宰	82
綻	82
腸	81
凍	81
栽	81
銅	81
撤	81
昧	81
摑	81
赦	81
踊	80
杉	80
菊	80
稽	80
袖	80
喰	80
覇	80
祥	80
曹	80
伽	80
爪	80
痺	80
苗	80
憎	79
拳	79
謙	79
拙	79
馳	79
架	78
尉	78
儲	78
燥	78
柴	78
奨	78
歪	78
璧	78
痕	78
滝	77
凄	77
愉	77
槍	77
乃	76
誓	76
彰	76
轄	76
呈	76
訂	76
詠	76
蔑	76
嫉	76
綿	75
冠	75
胡	75
享	75
塾	75
桐	75
輔	75
侮	75
郁	75
滴	74
尚	74
駒	74
崇	74
軌	74
炉	74
琴	74
繋	74
塞	73
粧	73
睡	73
枕	73
濯	73
鈍	73
凶	73
刈	73
贅	73
肪	72
鶏	72
菓	72
峰	72
珠	72
斐	72
宴	72
喚	72
迅	72
枯	72
掌	71
葛	71
桂	71
窮	71
擁	71
伺	71
讃	71
厄	71
蜜	71
幽	70
喋	70
磐	70
賑	70
柵	70
郵	69
賠	69
紋	69
貝	69
搭	69
鉱	69
漫	69
貰	69
畜	69
汰	69
剝	69
痴	68
漬	68
於	68
諾	68
渦	68
愕	68
窺	68
茎	67
泰	67
伐	67
遮	67
肯	67
萩	67
拐	67
頷	66
譜	66
澤	66
寮	66
懲	66
稀	66
逐	66
劉	66
洩	66
薩	65
湧	65
忌	65
符	65
胴	65
遷	65
悦	65
謹	65
鼓	64
嘉	64
賭	64
墨	64
唄	64
穫	64
欺	64
惚	64
挫	64
廻	63
潟	63
朴	63
哉	63
恰	63
晶	62
隙	62
沸	62
鍛	62
宛	62
辰	62
笹	62
酵	61
娠	61
堤	61
孔	61
辱	61
陶	61
腎	61
恒	61
塊	61
帆	61
篤	61
崖	61
眩	61
宏	61
炊	60
鉢	60
憂	60
宋	60
汽	60
裾	60
憩	59
搬	59
嬢	59
飢	59
溝	59
玲	59
巳	59
暫	59
庶	59
盲	59
壺	59
癖	58
胎	58
芯	58
幌	58
渓	58
諦	58
髄	58
捧	58
峡	58
披	58
釜	58
穀	58
慨	58
祐	57
嘩	57
禄	57
堪	57
叙	57
楊	57
扇	57
囚	57
勿	57
漸	57
鼠	57
揉	57
詫	57
蓮	56
缶	56
蘇	56
羊	56
嵐	56
狼	56
苛	56
某	56
煩	56
骸	56
醸	56
箸	56
纂	56
呻	56
幣	55
泌	55
扶	55
惹	55
猟	55
淵	55
喝	55
睨	54
嶋	54
懇	54
閲	54
僅	54
鋼	53
妖	53
祀	53
鷹	53
尖	53
囁	53
憤	53
播	53
呪	52
喧	52
菩	52
瘍	52
豚	52
殻	52
酢	52
鬱	52
撲	52
紳	52
繫	52
蒲	52
紐	52
焚	52
襟	52
筒	51
梨	51
朱	51
陀	51
